transaction_id,customer_id,transaction_date,amount,currency,country,transaction_type,merchant,counterparty_name,description,channel,transactions_count,avg_amount_customer,high_amount_flag
1,27,2025-12-08 16:55:26.224208,2543.73,USD,Belarus,transfer,"Morgan, Pittman and Wise",Maria Oliver,Article though yourself economic at.,mobile,34,3530.093529411765,0
2,1000,2026-02-07 21:00:26.224208,1023.26,USD,Poland,withdrawal,Rose and Sons,David Rowland,Several rule class. gift,branch,27,2958.3166666666666,0
3,979,2025-11-07 17:39:26.224208,125.86,USD,Poland,payment,"Rhodes, Thompson and Cruz",Ashley Reid,Each blue reduce ahead cover support.,branch,33,2303.901515151515,0
4,954,2025-10-12 19:21:26.224208,813.39,USD,USA,transfer,White and Sons,Laura Russell,This conference front about almost court.,mobile,29,2485.3924137931035,0
5,295,2025-11-16 08:37:26.224208,4318.17,USD,Turkey,payment,"Allen, Thomas and Little",Dalton Love,In under front buy.,branch,29,1982.4079310344828,0
6,391,2025-12-25 18:36:26.224208,838.71,USD,Kazakhstan,transfer,"Wilson, Cunningham and Reynolds",Lori Gibson,Imagine sound benefit believe.,branch,31,1845.0045161290323,0
7,839,2025-10-23 21:33:26.224208,2169.6,USD,Turkey,payment,"Daugherty, Hendricks and Thompson",Ronald Phillips,Set card team career onto.,mobile,34,5297.767647058824,0
8,769,2025-10-21 19:53:26.224208,115.15,USD,Germany,transfer,"Hubbard, Bowen and Roberson",Timothy Henderson,Individual recent any least into.,mobile,31,4402.549677419355,0
9,130,2025-10-28 15:24:26.224208,2374.86,USD,Czech Republic,transfer,"Martin, Dixon and Peterson",Robert Vargas,Many sometimes whose third item threat.,branch,26,2320.1503846153846,0
10,706,2025-12-01 11:37:26.224208,2828.7,USD,Czech Republic,withdrawal,Horn-Gomez,Adam Taylor,Region although money ahead budget member visit.,branch,27,2850.75037037037,0
11,61,2026-01-02 19:46:26.224208,2738.35,USD,UK,transfer,"Crawford, Craig and Norris",Hailey Jensen,Audience around base worry.,branch,23,5961.593478260869,0
12,607,2026-02-17 22:58:26.224208,2321.84,USD,Poland,payment,"Burns, Clark and Beasley",Kimberly Blair,Finally question meeting.,online,33,1651.98,0
13,769,2026-03-05 15:57:26.224208,1992.8,USD,Russia,payment,Robinson Inc,Amanda Lara,Ask list participant expert economy sound.,mobile,31,4402.549677419355,0
14,868,2026-02-01 14:13:26.224208,3305.94,USD,Russia,transfer,"Olsen, Villa and Kim",John Perez,Short accept begin certain girl.,branch,36,2432.936111111111,0
15,69,2026-01-04 18:12:26.224208,2035.56,USD,USA,withdrawal,Watson-Wilcox,Sandra Davis,Him begin age perhaps explain. Ð¾Ð±Ð¼ÐµÐ½,mobile,33,3751.233333333333,0
16,542,2026-01-31 23:52:26.224208,3010.36,USD,Lithuania,transfer,"Ramsey, Williams and Hall",Julian Nguyen,City any manager century.,online,29,2445.116896551724,0
17,970,2026-01-25 10:05:26.224208,7593.06,USD,Lithuania,transfer,Hall LLC,Richard Garcia,Culture heavy concern expect.,mobile,32,5090.5425,0
18,72,2025-09-23 00:24:26.224208,1560.5,USD,Turkey,withdrawal,Ortiz PLC,Keith Huffman,Night officer early staff age process.,mobile,43,3127.426511627907,0
19,809,2025-12-23 18:12:26.224208,5593.18,USD,Ukraine,withdrawal,"Morris, Cochran and Swanson",Brian Jones,Lot wall security coach whatever against.,mobile,17,3964.288823529412,0
20,559,2026-03-10 21:25:26.224208,9013.76,USD,USA,withdrawal,Freeman Inc,Donald Wade,Everybody maintain be send year short.,branch,30,2871.922666666667,0
21,473,2025-11-08 01:03:26.224208,2010.85,USD,UAE,payment,"Henderson, Thomas and Lewis",Shannon Miller,Same action fire serious clearly this.,mobile,45,5496.630666666667,0
22,914,2025-10-07 07:36:26.224208,530.82,USD,USA,payment,"Medina, Perry and Klein",Vanessa Black,Cut face sign.,branch,26,2173.7457692307694,0
23,432,2026-03-12 18:24:26.224208,2313.68,USD,Poland,payment,Harding LLC,Heather Levy,Maintain because nature.,branch,32,3519.268125,0
24,351,2025-12-27 08:14:26.224208,3861.84,USD,Belarus,withdrawal,Gentry and Sons,James Kemp,Particular common agency social reveal.,branch,38,2703.075263157895,0
25,866,2025-11-10 00:07:26.224208,21.69,USD,Turkey,withdrawal,Rodriguez Inc,Sue Gray,Including wish ago statement door low.,branch,27,1705.1977777777777,0
26,943,2026-01-23 11:12:26.224208,5352.66,USD,Kazakhstan,withdrawal,"Jackson, Edwards and Nguyen",Nathan Harrell,Research you newspaper by.,mobile,32,3332.228125,0
27,380,2025-11-09 23:13:26.224208,1640.0,USD,Ukraine,payment,Hernandez-Harvey,Raven Holt,Sign idea allow hospital eight investment.,online,30,3721.5186666666664,0
28,357,2026-01-22 04:49:26.224208,3525.76,USD,Germany,transfer,Smith-Rodriguez,Tanya Campbell,American ground site recently north join.,branch,23,2800.5765217391304,0
29,189,2025-12-06 07:35:26.224208,223.56,USD,Lithuania,transfer,"Burnett, Smith and Gonzalez",Janet Morgan,Serious personal visit quickly peace such.,mobile,26,3167.5465384615386,0
30,534,2025-11-09 12:42:26.224208,2627.53,USD,USA,payment,Clements Group,Tiffany Morrison,Change certain marriage me.,branch,37,4359.2027027027025,0
31,437,2025-09-25 20:51:26.224208,462.98,USD,Russia,transfer,"Smith, Jordan and Vaughan",Jennifer Kline,Brother news box quickly fine.,online,22,2051.3545454545456,0
