customer_id;full_name;residence_country;customer_since;customer_segment;risk_profile
1;George Ochoa;USA;24.11.2020;business;medium
2;Troy Hobbs;Belarus;11.01.2023;retail;medium
3;Linda Rogers;Turkey;27.07.2018;retail;medium
4;Matthew Park;Poland;14.12.2017;business;medium
5;Katrina Martinez;Germany;25.05.2022;business;low
6;Elijah Davis;Germany;08.07.2019;retail;medium
7;Samantha Nguyen;Poland;09.01.2018;business;medium
8;Spencer Jacobs;Germany;03.04.2018;business;high
9;Sarah Acevedo;Germany;09.11.2020;business;low
10;Adam Aguilar;Russia;25.01.2019;business;medium
11;Leah Chavez;Belarus;14.12.2019;retail;high
12;Sarah Park;UK;20.09.2017;business;high
13;Christian Fernandez;Lithuania;04.07.2025;business;high
14;Trevor Chase;Germany;07.10.2020;business;medium
15;Jennifer Harrington;Lithuania;11.09.2021;retail;low
16;Stephanie Shaw;Belarus;02.02.2019;business;medium
17;James Henson;Czech Republic;17.01.2018;business;medium
18;Kelly Hickman;Belarus;11.08.2024;business;high
19;Christie Ferguson;Germany;11.10.2016;retail;high
20;Troy Mcknight;Turkey;02.08.2022;retail;high
21;Nicholas Flores;Russia;19.05.2022;business;medium
22;Timothy Perez;Germany;28.07.2019;retail;low
23;Tanya Cain;Czech Republic;16.10.2025;retail;high
24;Michael Brock;Russia;25.10.2024;business;high
25;Cindy Reed;Poland;16.12.2023;retail;high
26;Mrs. Joyce Morales;USA;18.07.2021;retail;medium
27;Lindsay Lopez;Czech Republic;03.08.2016;business;medium
28;Daniel Cantrell;Turkey;19.03.2021;business;medium
29;Joseph Wang;Kazakhstan;12.06.2017;retail;medium
30;Harold Smith;Germany;26.07.2017;business;low
31;Danielle Moran;Turkey;11.03.2023;business;high
32;Colleen Pugh;Czech Republic;21.02.2019;business;low
33;Joseph Martinez;Russia;05.07.2021;business;low
34;Sherry Peterson;UAE;06.09.2020;retail;medium
35;Derek Young;Ukraine;05.03.2019;business;high
36;Kelly Moreno;Poland;04.09.2018;business;medium
37;Louis Clark;USA;07.06.2017;business;medium
38;Lee Beck;Lithuania;29.11.2016;retail;high
39;Beth Jones;Lithuania;16.03.2018;business;low
40;Cheryl Dixon;Kazakhstan;18.07.2023;business;high
41;Beth Reyes;Germany;04.08.2020;retail;medium
42;Brandy Sosa;Germany;02.09.2024;business;medium
43;Anna Villarreal;Germany;20.01.2021;retail;low
44;Joseph Smith;Czech Republic;17.12.2016;business;medium
45;Jessica Thompson;Lithuania;22.01.2026;business;high
46;Joan Hawkins;Ukraine;10.08.2024;retail;high
47;Martha Peterson;UAE;28.10.2016;business;low
48;Kelli Alvarado;Poland;18.05.2024;business;high
49;Joseph Davis;Czech Republic;06.11.2025;retail;medium
50;Anthony Little;USA;21.02.2020;business;medium
51;Joseph Adams;Russia;26.02.2022;retail;high
52;Alice Green;USA;25.01.2023;retail;low
53;Brittany Thomas;Kazakhstan;01.11.2025;retail;low
54;Dr. Henry Garcia Jr.;UK;06.12.2017;business;medium
55;Mrs. Michelle Riley;Kazakhstan;09.11.2019;business;low
56;Michael Colon;Poland;13.01.2018;business;high
57;Olivia Jackson;Ukraine;23.04.2016;business;high
58;Devin Huff;Lithuania;16.03.2019;retail;high
59;Daniel Hood;Russia;11.08.2023;retail;low
60;Destiny Smith;UK;26.04.2023;business;medium
61;Guy Mason;Czech Republic;09.06.2024;retail;low
62;William Fitzpatrick;Lithuania;01.10.2022;business;medium
63;Martin Martin;UAE;08.04.2016;retail;low
64;Leah Miller;Germany;17.07.2024;retail;medium
65;Jennifer Wright;Lithuania;15.03.2025;retail;medium
66;Lisa Williams;UK;13.01.2020;business;high
67;Andrew Kelly;Russia;26.07.2016;retail;medium
68;Troy Santos;Russia;12.12.2019;business;medium
69;Thomas Mendoza;Germany;13.09.2018;retail;medium
70;Maria Delgado;USA;17.01.2020;business;low
71;Kylie Sanchez;Germany;12.04.2018;retail;low
72;Jason Black;Lithuania;27.08.2016;business;high
73;Carmen Sanchez;Kazakhstan;20.07.2019;business;medium
74;Anne Goodman;Russia;25.10.2021;business;low
75;Stacy Strickland;Belarus;09.03.2023;business;low
76;David Compton;Ukraine;11.11.2020;retail;medium
77;Philip Lambert;Russia;28.03.2019;business;low
78;Adam Watts;Czech Republic;25.11.2019;business;low
79;Jeffrey Blair;Germany;07.10.2017;business;high
80;Alexandra Myers;Germany;09.09.2025;retail;high
81;Amanda Larson;Germany;22.11.2021;business;high
82;Carla Jackson;Lithuania;06.08.2019;retail;medium
83;William Rosario;UK;14.06.2022;business;low
84;Matthew Taylor;Kazakhstan;10.05.2016;retail;low
85;John Evans;UAE;19.03.2023;business;high
86;Tina Price;UK;18.12.2020;retail;high
87;Jasmine Stewart;Belarus;24.05.2021;retail;low
88;Derek Thompson;Lithuania;29.06.2021;business;low
89;Alison Johnson;Belarus;21.01.2022;retail;medium
90;Hannah Watts;Czech Republic;29.10.2022;retail;low
91;Jonathan Nelson;Turkey;01.06.2024;retail;low
92;Donald Hill;Turkey;30.01.2020;business;high
93;Diana Burton;Kazakhstan;04.07.2023;retail;high
94;Joshua Scott;Ukraine;25.03.2018;business;low
95;Eric Dunn;Lithuania;08.03.2019;retail;low
96;Tamara Burns;UK;25.07.2024;retail;low
97;Jordan Sullivan;Czech Republic;07.03.2018;retail;high
98;Leslie Henry;Kazakhstan;10.06.2017;business;high
99;Jamie Roberts;Lithuania;25.07.2024;business;high
100;Joann Turner;Lithuania;26.09.2018;business;high
101;Melissa Miller;Germany;05.05.2021;retail;low
102;Ariel Turner;Poland;27.01.2022;retail;medium
103;Douglas Walker;Germany;14.04.2025;retail;high
104;Stanley Jones;Czech Republic;25.10.2020;retail;high
105;Nicole Rodriguez;USA;20.03.2021;retail;high
106;Mary Jacobs;UAE;10.05.2025;business;medium
107;Zachary Miller;Czech Republic;07.11.2019;retail;medium
108;Matthew Stephens;Germany;22.06.2017;retail;low
109;Monique Davis;Russia;06.04.2019;business;high
110;Craig Welch;Kazakhstan;20.01.2021;retail;low
111;Jennifer Williams;UK;01.10.2020;retail;high
112;Michael Robinson;Russia;03.06.2021;business;medium
113;John Simpson;Russia;18.10.2019;business;high
114;William Olson;Kazakhstan;22.12.2021;retail;low
115;Kimberly Camacho;Lithuania;13.04.2020;retail;high
116;Christopher Martinez;Czech Republic;06.10.2021;retail;medium
117;Norma Hamilton;UK;25.03.2023;retail;low
118;John Cole;Germany;11.10.2020;business;high
119;Cassandra Jimenez;Czech Republic;24.03.2021;business;high
120;Anthony Webb;Russia;19.02.2019;retail;low
121;Nicholas Villanueva;Belarus;08.04.2023;retail;low
122;Sean Miller;Germany;21.11.2017;retail;high
123;Tyler Andrews;Kazakhstan;11.01.2019;retail;medium
124;Richard Conner;Ukraine;13.08.2019;business;high
125;Lisa Deleon;UK;17.12.2023;retail;medium
126;Alexis Young;Turkey;17.05.2023;retail;high
127;Stephanie Mckinney;Turkey;16.06.2021;retail;medium
128;Heather Davis;Belarus;23.01.2025;retail;high
129;Jamie Gomez;UAE;03.12.2021;retail;medium
130;Mary Casey;UAE;13.07.2016;retail;medium
131;Ricky Reynolds;UK;28.03.2024;retail;low
132;Cristian Ward PhD;Kazakhstan;26.09.2024;business;high
133;Melissa Hughes;Germany;14.09.2025;retail;medium
134;Marie Hansen;Lithuania;24.06.2017;business;low
135;Brittany Lambert;Lithuania;18.02.2017;business;medium
136;Jennifer Bishop;UAE;13.07.2020;business;medium
137;Michael Frost;USA;28.05.2024;retail;low
138;Scott Chapman;UAE;08.11.2016;business;medium
139;Ryan Ford;Poland;12.03.2022;retail;low
140;Jennifer Smith;UK;21.12.2025;retail;low
141;Elizabeth Garrett;Ukraine;16.03.2025;retail;high
142;John Martinez;Ukraine;17.06.2017;retail;low
143;Melissa Brown;Belarus;22.07.2017;retail;low
144;Theresa Fitzpatrick;Ukraine;29.11.2018;retail;high
145;Kelly Walsh;Germany;07.04.2020;business;medium
146;Michelle Cook;Kazakhstan;17.11.2023;business;low
147;Steven Mueller;Kazakhstan;31.10.2022;retail;high
148;Debra Thomas;UAE;02.09.2025;business;high
149;Robert Hooper;Belarus;11.09.2020;retail;medium
150;Juan Campos;Russia;27.01.2023;business;low
151;Melvin Avila;Ukraine;01.09.2021;retail;low
152;Amy Carrillo;Turkey;27.06.2019;retail;medium
153;Austin Wiley;USA;03.08.2020;business;high
154;Michael Frey;Russia;14.11.2017;business;medium
155;Susan Scott;USA;09.10.2021;business;low
156;Lydia Salazar;Belarus;21.02.2019;retail;medium
157;Christopher Austin;Belarus;12.01.2020;retail;medium
158;Christine Russell;Turkey;08.11.2023;business;high
159;Daniel Cooper;Russia;12.04.2021;business;high
160;Kelly Blake;Russia;21.02.2023;business;medium
161;Joshua Long;Czech Republic;11.01.2022;retail;medium
162;Erin Barnes;Lithuania;27.08.2022;retail;medium
163;Joshua Cooper;Germany;28.03.2020;business;low
164;Matthew West;USA;01.05.2019;retail;medium
