transaction_id;customer_id;transaction_date;amount;currency;country;transaction_type;merchant;counterparty_name;description;channel
1;27;2025-12-08 16:55:26.224208;2543.73;USD;Belarus;transfer;Morgan, Pittman and Wise;Maria Oliver;Article though yourself economic at.;mobile
2;1000;2026-02-07 21:00:26.224208;1023.26;USD;Poland;withdrawal;Rose and Sons;David Rowland;Several rule class. gift;branch
3;979;2025-11-07 17:39:26.224208;125.86;USD;Poland;payment;Rhodes, Thompson and Cruz;Ashley Reid;Each blue reduce ahead cover support.;branch
4;954;2025-10-12 19:21:26.224208;813.39;USD;USA;transfer;White and Sons;Laura Russell;This conference front about almost court.;mobile
5;295;2025-11-16 08:37:26.224208;4318.17;USD;Turkey;payment;Allen, Thomas and Little;Dalton Love;In under front buy.;branch
6;391;2025-12-25 18:36:26.224208;838.71;USD;Kazakhstan;transfer;Wilson, Cunningham and Reynolds;Lori Gibson;Imagine sound benefit believe.;branch
7;839;2025-10-23 21:33:26.224208;2169.6;USD;Turkey;payment;Daugherty, Hendricks and Thompson;Ronald Phillips;Set card team career onto.;mobile
8;769;2025-10-21 19:53:26.224208;115.15;USD;Germany;transfer;Hubbard, Bowen and Roberson;Timothy Henderson;Individual recent any least into.;mobile
9;130;2025-10-28 15:24:26.224208;2374.86;USD;Czech Republic;transfer;Martin, Dixon and Peterson;Robert Vargas;Many sometimes whose third item threat.;branch
10;706;2025-12-01 11:37:26.224208;2828.7;USD;Czech Republic;withdrawal;Horn-Gomez;Adam Taylor;Region although money ahead budget member visit.;branch
11;61;2026-01-02 19:46:26.224208;2738.35;USD;UK;transfer;Crawford, Craig and Norris;Hailey Jensen;Audience around base worry.;branch
12;607;2026-02-17 22:58:26.224208;2321.84;USD;Poland;payment;Burns, Clark and Beasley;Kimberly Blair;Finally question meeting.;online
13;769;2026-03-05 15:57:26.224208;1992.8;USD;Russia;payment;Robinson Inc;Amanda Lara;Ask list participant expert economy sound.;mobile
14;868;2026-02-01 14:13:26.224208;3305.94;USD;Russia;transfer;Olsen, Villa and Kim;John Perez;Short accept begin certain girl.;branch
15;69;2026-01-04 18:12:26.224208;2035.56;USD;USA;withdrawal;Watson-Wilcox;Sandra Davis;Him begin age perhaps explain. обмен;mobile
16;542;2026-01-31 23:52:26.224208;3010.36;USD;Lithuania;transfer;Ramsey, Williams and Hall;Julian Nguyen;City any manager century.;online
